scientific_name,family,genre,alternative_scientific_names,ca_common_name,description,additional_info,islands,habitat,edibility,es_common_name
Abortiporus biennis (Bull.) Singer,Merapilaceae,Abortiporus,"['Polyporus biennis (Bull.) Fr.', 'Polyporus rufescens (Pers.) Fr']",,"Seta blanca o blanca rosada con puntos más rojos de forma muy irregular, puede parecerse a medio embudo o a una copa, con pie o sin, formando grupos numerosos. Tiene poros de 2-5 mm, blanquecinos, después rosados y color castaño, de redondos a alargados, formando una especie de láminas onduladas. Las esporas blancas en masa, elipsoidales, lisas, de 4,5-6 x 3-5 micras",Es muy frecuente,['Mallorca'],['Sobre plantas leñosas'],Indiferent,
Antrodia serialis (Fr.) Donk,Meripilaceae,Antrodia,,,"Puede aparecer pegado a la madera de la cual cuando es joven se separa fácilmente, o en forma resupinada. Tiene poros y tubos dispuestos en forma de pisos de arriba abajo. Cuando es joven es de color blanco y después se vuelve color crema o ocre. Las esporas son cilíndricas y en forma de riñón, lisas, de 4-5 x 1-1,5 micras",Provoca podridura blanca en la madera,['Cabrera'],"['Sobre madera muerta, piñas, tocones']",Indiferent,
Rigidoporus ulmarius (Sowerby) Imazeki,Meripilaceae,Rigidoporus,,,"Es una seta de gran tamaño, que crece cada año en forma de ménsula, más o menos plana de hasta casi 30 cm de diámetro y 8 de grueso. La superficie superior es primero tomentosa y después sin pelos, color crema, con el margen más grueso y redondeado, de blanquecino a amarillento. El himenio, que está en la parte inferior, está formato por unos tubos largos, de rosados a anarnjados y con numerosos poros, finos y apretados. Las esporas son blanquecinas en masa, globosas, de 6-8 micras",Podemos ver un ejemplar sobre un platanero (Platanus orientalis L.) delante del huerto del rey en la ciudad de Palma,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']",['Sobre plantas leñosas'],Indiferent,
Morchella elata Fr,Morchellaceae,Morchella,,['Múrgola'],"Las fructificacions de esta seta son de 10 a 15 cm de altura, con la parte superior piramidal y vacía. Presenta costillas paralelas transversales que forman alveolos de color marrón. Las costillas se ennegrecen con la edad. Destaca el pie del resto por su color blanco, pero es liso y vacío como el sombrero. Las esporas son elípticas, de 18-25 x 11-15 micras","Se encuentra en grupos de muchos individuos, aunque no es frecuente",['Mallorca'],"['Alzinar', 'Pinares y otras coníferas', 'Zones humides']",Comestible,
Morchella rotunda (Fr.) Boud,Morchellaceae,Morchella,['Morchella esculenta var. rotunda Pers'],['Múrgola'],"Las fructificaciones parecen celdas de abejas o un cerebro y pueden llegar a los 12 cm de altura. La fructificación está formada por costillas transversales y longitudinales que forman alveolos. Éstos están tapizados por el himenio y son de color amarillo intenso o dorado. El pie es ancho, liso, vacío, de color blanco, crema con el tiempo, a veces ramificado y más ancho en la base. Las esporas son de color tierra amarillento, elípticas, de 18-20 x 10-12 micras",Es muy buen comestible,['Mallorca'],['Llocs cremats'],Comestible,
Mycenastrum corium (Guers.) Desv,Mycenastraceae,Mycenastrum,,,"En forma esférica de hasta 10 cm de diámetro. La superficie externa es membranosa y dura, de color blanquecino y sucia. Una vez madura se abre hasta la mitad formando en la parte superior láminas triangulares giradas hacia fuera. La parte interna o gleba primero es blanquecina y después se convierte en un polvo marrón formada por esporas. Estas son marrones en masa, subglobosas, de 12 x 8-10,5 micras y son diseminadas por una apertura que se encuentra en la parte superior de la envoltura",,['Mallorca'],['Alzinar'],Indiferent,
Cyathus olla (Batsch) Pers,Nidulariaceae,Cyathus,"['Cyathus nitidus Roth', 'Cyathus agrestis Pers.', 'Cyathus lentiferus (L.) P. Karst']",['Trompeta petita'],"Seta muy pequeña en forma de copa alargada, de 9 a 15 mm de altura y de 7 a 13 mm de diámetro. La base es estrecha y la boca ancha. La superficie externa es tomentosa y de color gris marrón y la superficie interna es lisa, brillante y de color entre gris pálido a oscuro. Dentro de la copa encontramos una especie de huevos pequeños de 2 a 3 mm, en forma de lenteja de color gris, brillantes y están amarrados a la pared por un filamento que contienen las esporas. Éstas son elipsoidales de 9-12 x 7-9 micras y cuando llueve, las gotas hacen que estos huevos proyecten las esporas hacia fuera",,['Mallorca'],['Pinares y otras coníferas'],Indiferent,['Ciato atrompetado']
Cyathus striatus (Huds.) Willd,Nidulariaceae,Cyathus,,['Niuet estriat'],"Seta con forma de copa de 1-1,5 cm de altura, más estrecha en la base. La parte externa es de color marrón ferruginosa, de superficie lacerada-filamentosa y la interna glabra, de color gris blanquecino y con características estrías longitudinales. Las esporas son hialinas, elipsoidales, lisas, de paredes gruesas, 14-18 x 6,5-11,5 micras","Una cierta semejanza presentan las Nidularia, pero estas no tienen una membrana antes de abrirse como el Cyathus striatus ni tampoco funículo en los peridíolos",,"['Sobre madera muerta, piñas, tocones']",,['Ciato estriado']
Omphalotus olearius (DC.) Singer,Omphalotaceae,Omphalotus,"['Clitocybe olearia (DC.: Fr.) Maire', 'Pleurotus olearia (DC.: Fr.) Gillet']","[""Bolet d'oliu"", ""Gírgola d'olivera"", 'Pixacà']","Seta toda ella de coloración que va del amarillo oro al amarillo azafrán más o menos rojizo. Sombrero de hasta 10 o 15 cm de diámetro, primero convexo pero se vuelve en forma de embudo con el margen muchas veces levantado. El pie es central o excéntrico, más o menos curvado y tiene numerosas láminas decurrentes hacia el pie de color amarillo dorado que nos pueden manchar las manos al tocarlas. Las esporas son blancas en masa, de ovoides a subglobosas, lisas, 5-7 x 5-6 micras","Frecuente y crece en grupos numerosos, es tóxica y provoca problemas gastrointestinales. Presenta luminiscencia si la seta es fresca durante dos o tres días en un ambiente sin nada de luz","['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']","['Alzinar', ""Garriga d'ullastre"", 'Sobre plantas leñosas']",Indiferent,['Seta de olivo']
Paxillus panuoides (Fr.) Fr,Paxillaceae,Paxillus,"['Paxillus acheruntius Humb. J. Schröt. ', 'Paxillus lamerillugus D.C']",['Gírgola de pi'],"Forma de concha o lengua irregularmente ondulada de 3 a 8 cm de diámetro de color amarillento a beig a amarillento oliva, gris a veces que con la edad se vuelve coriáceo. El pie si tiene es muy corto y lateral. Presencia de láminas de color ocre anaranjado que a veces están conectadas unas con las otras por una especie de venas perpendiculares a ellas. Las esporas son de color terroso arcilla en masa, ovaladas, de 4-6 x 3-4 micras",No demasiado gustosa y sólo se tienen que consumir ejemplares jóvenes y es necesario hervirlos antes de cocinarlos,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']",['Sobre plantas leñosas'],Indiferent,
Otidea cochleata (Huds.) Fuckel,Pezizaceae,Otidea,,,"Seta de color marrón más o menos oscura en forma de oreja con uno de los lados no soldado que puede medir hasta 6 cm de altura y crece en grupos de numerosos individuos. El pie es blanquecino más o menos rudimentario. Las esporas son elípticas, lisas, de 15-18 x 7-9 micras",Generalmente sale cuando hace frío,['Mallorca'],['Alzinar'],Indiferent,
,,,['Otidea umbrina (Pers.) Bres'],,,,,,,
Aleuria aurantia (Pers.) Fuckel,Pyronemataceae,Aleuria,['Peziza aurantia Pers.: Fr'],['Cassoleta ataronjada'],"Seta sin pie en forma de copa y de color muy anaranjado pasando a color más claro amarillento y plana con los márgenes muy ondulados. Puede medir de 3 a 6 cm de diámetro. Las esporas son elípticas y cubiertas por una red externa muy vistosa, de 15-20 x 9-10 micras",Se come de postre con miel,['Mallorca'],['Pinares y otras coníferas'],Comestible,['Peziza anaranjada']
Peziza endocarpoides Berk,Pezizaceae,Peziza,['Plicaria endocarpoides (Berkel.) Rifai'],,"Seta en forma de copa, de 1 a 5 cm de diámetro, inicialmente cerrada y progresivamente se va abriendo para ser casi plana. El interior de la copa es marrón negruzco, casi negro con el tiempo y por fuera tiene pequeñas verrugas y es de un color más claro que el interior con tonos violáceos. Las esporas son lisas, redondas, de 9,3-11 micras de diámetro",Tiene una especie de látex opalescente que con el tiempo se vuelve amarillo,['Mallorca'],['Llocs cremats'],Indiferent,
,,,['Peziza praetervisa ss. Breitenbac-Kränzlin'],,,,,,,
Peziza subviolacea Svrcek,Pezizaceae,Peziza,,,"Seta en forma de copa, finamente granulosa, amarillenta, de 3-4 cm de diámetro. Inicialmente con el margen girado interiormente, después se va abriendo y finalmente se dobla hacia el exterior. El himenio, que está dentro la copa, es de color violáceo oscuro muy brillante y con el tiempo se aclara y pierde la brillantez. Por fuera es grisáceo, marrón violáceo o marrón oliva. Las esporas son elípticas, lisas, con dos gotas lipídicas, de 5-14 x 6,5-7,4 micras",,"['Cabrera', 'Ibiza', 'Mallorca']",['Llocs cremats'],Indiferent,
Phallus impudicus L,Phallaceae,Phallus,"['Jaczewskia phalloides Matt.', 'Ithyphallus impudicus (L.: Pers.) E. Fischer']",['Ou del diable'],"Seta al principio subterránea, en forma de huevo inicialmente, de 4-6 x 3-5 cm con una especie de raíz más o menos ramificada, de color blanco y floja al tacto. El peridio se abre y emerge un pie blanco, esponjoso y vacío, acabado por una parte cónica, de color verde oliva y con un olor repugnante que la identifica. Puede medir hasta 20 cm de altura. Las esporas son de color amarillo pálido, lisas, un poco ovaladas, de 3-5 x 1,5-2 micras",Característico por el olor insoportable que hace,['Mallorca'],"['Alzinar', 'Pinares y otras coníferas']",Indiferent,['Falo hediondo']
Pulcherricium caeruleum (Lam.) Parmasto,Phanerochaetaceae,Pulcherricium,"['Corticium caeruleum (Schrad.) Fr.', 'Thelephora caeruleum Fr']",,"Seta de color azul y márgenes blanquecinos (cuando es joven) que se desarrolla sobre madera en forma de costra con una superficie lisa o irregular formando una sucesión de nudos.Las esporas son elípticas, hialinas, de 7-11 x 5-6 micras",Especie característica por su color azul añil,['Mallorca'],"['Alzinar', 'Sobre madera muerta, piñas, tocones']",Indiferent,
Hohenhuehelia geogenia (D.C.) Singer,Pleurotaceae,Hohenhuehelia,"['Acanthocystis geogenius (D. C.: Pers.) P. Kumm. ', 'Pleurotus geogenius Gillet']","['Gírgola', 'Gírgola de carboner', 'Gírgola de garriga', 'Gírgola de marina', 'Gírgola de pi', 'Orellana']","Esta seta tiene forma de oreja o concha con la parte superior del sombrero abierta como un abanico y el pie que parece una continuación del mismo, que puede ser totalmente excéntrico o lateral. El sombrero mide de 5 a 14 cm de diámetro, es gelatinoso en tiempo húmedo, liso, reluciente y con manchas blanquecinas y de color que va del gris a marrón oscuro. El pie es algo más claro que el sombrero contrastando con las láminas que son blanquecinas, apretadas y muy decurrentes. Las esporas son blancas en masa, elípticas, lisas, de 7-10 x 4-5 micras",Crece en tierra pero siempre ligado a raíces o tocones. Se suele encontrar en colonias de muchos individuos,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']","['Alzinar', 'Pinares y otras coníferas']",Comestible,
Pleurotus eryngii (DC.) Quél,Pleurotaceae,Pleurotus,,"[""Bolet d'espinacal"", ""Gírgola d'arena"", 'Gírgola de camp', 'Gírgola de card']","Es una de las setas más apreciadas en la cocina compuesta por un sombrero de 4 a 10 cm, carnoso, convexo al principio para pasar a deprimido y con el margen enrollado. El color del sombrero va del blanco crema al marrón cobrizo. Las láminas son decurrentes, gruesas, un poco separadas, de color blanquecino o amarillento. El pie, que puede ser central o excéntrico, es macizo, cilíndrico, largo y normalmente curvado y atenuado en la base. Las esporas son blancas en masa, elípticas, de 10-13 x 5-6 micras",Comestible excelente y buscado en muchos de países de Europa,['Mallorca'],"['Dunes', 'Sobre plantas herbáceas']",Comestible,"['Oreja de cardo', 'Seta de cardo']"
Amanita rubescens Pers,Pluteaceae,Amanita,,,"Esta seta presenta un sombrero de hasta 15 cm de diámetro que de hemisférico pasa a plano y de color tierra cobrizo a color vino, con escamas blanquecinas casi semicirculares. Las láminas son apretadas, con lamelas blancas que tienen manchas cobrizas con la edad. Las esporas son blancas en masa, elípticas, de 8-10 x 6-7 micras. El pie, que es blanco-rojizo tiene un bulbo grueso y rojizo y lleva un anillo persistente, estriado, blanco en la parte superior y del mismo color que el pie en la inferior. La volva, en la base del pie, se deshace rápidamente",Se debe comer bien cocida porque cruda puede ser tóxica. Su gusto recuerda a las gambas,['Menorca'],['Alzinar'],Comestible,
Pluteus romellii (Britzelm.) Lapl,Pluteaceae,Pluteus,,,"Seta con un sombrero de unos 3 cm de diámetro, pronto plano, con el margen ondulado que se levanta un poco con la edad. Con la ayuda de una lupa se pueden observar una especie de venas en relieve características del sombrero. Las láminas están libres, un poco ventrudas, de color amarillo pálido que con la caída de las esporas se vuelven rosadas. El pie es erguido y de un color amarillo muy vistoso. Las esporas son rosadas en masa, de subglobosas a globosas, de 6-7 x 5-6 micras","Especie de pequeño tamaño, no muy frecuente y con un cierto comportamiento pirófilo","['Cabrera', 'Mallorca', 'Menorca']","['Alzinar', 'Llocs cremats']",Indiferent,
Volvariella gloiocephala (DC.) Boekhout & Enderle,Pluteaceae,Volvariella,['Volvariella speciosa (Fr.) Singer var. gloiocephala (DC.) Singer'],,"Seta con un sombrero de 6 a 12 cm de diámetro, cónico con el ápice obtuso que posteriormente se abre, viscoso en tiempo húmedo y de color variable, generalmente gris ahumado. Las láminas son blancas, delgadas, libres, un poco gruesas que se manchan de color rosado oscuro por la caída de las esporas. El pie es atenuado en la parte superior, con la base un poco gruesa que presenta una volva irregular, no muy grande y enterrada. Es de color blanco grisáceo. Las esporas son rosadas en masa, de elipsoides a ovoides, de 13-18 x 7,5-8 micras",Suele salir en los mismos lugares cada año,"['Ibiza', 'Mallorca']",,Indiferent,
Volvariella murinella (Quél.) M.M. Moser,Pluteaceae,Volvariella,,,"Esta es una seta de gusto dulce y olor a geranio. El sombrero de hasta 7 cm de diámetro, primero acampanado y con un ancho mamellón plano y obtuso en el centro. El color varía, inicialmente blanco y grisáceo en el centro del sombrero volviéndose totalmente gris con el tiempo. Las láminas primero ascendentes, después planas, frágiles, blancas para pasar a rosadas por la caída de las esporas. Éstas son rosadas en masa, elipsoidales, de 6-7 x 3,5-4,5 micras. El pie es más o menos cilíndrico, largo, liso, de color blanco donde en la base encontramos una pequeña volva formada por cuatro lóbulos, de color blanquecino que se mancha de marrón o grisáceo con el tiempo","Seta vistosa, que presenta muy típicamente una volva blanca y huele a geranio","['Cabrera', 'Menorca']","['Dunes', 'Pinares y otras coníferas']",Indiferent,
Volvariella taylori (Berk. & Broome) Singer,Pluteaceae,Volvariella,,,"Esta seta presenta un sombrero de hasta 5-6 cm de diámetro, hemisférico y después plano, con el centro de color tierra claro o un poco amarillento y el resto blanco. Un poco higrófano, con fibrillas largas, relucientes y blanquecinas, estriadas hacia el margen. Debajo de éste se encuentran las láminas libres y separadas de color blanco volviéndose rosadas o amarillentas por la caída de las esporas. Estas son elipsoidales, de 6,5-7 x 5 micras y el pie es largo, liso, un poco pubescent y presenta en la base una volva de tres lóbulos, uno más grande que los otros dos, de color marrón terroso oscuro, más blanquecino en la parte inferior",Especie rara en las Baleares,['Mallorca'],['Dunes'],Indiferent,
Hexagonia nitida Durieu & Mont,Polyporaceae,Hexagonia,"['Apoxona nitida (Dur. & Mont.) Donk', 'Tramedes nitida Pilát', 'Scenidium nitidum (Dur. & Mont.) O. Kuntze']",,"Seta de consistencia dura enganchado directamente al árbol que parasita, en forma de media circunferencia, de hasta 20 cm de diámetro. La superficie es lisa, brillante y marcada de surcos concéntricos de color marrón, con el margen un poco más claro, recto y muy regular. La superficie inferior está cubierta de grandes poros más o menos hexagonales, muy grandes, de 2 a 3 mm de diámetro, regulares y de color marrón amarillento o marrón claro. Tiene una serie de tubos dispuestos en una sola capa, con poros anchos, de 1-3 mm, y de forma típicamente hexagonal. El color es claro al principio, después se vuelve oscuro con tonos grises negruzcos. Las esporas son cilíndricas, lisas, de 10-13 x 3-5,5 micras",Parásita o saprófita de encinas a las cuales les produce una podridura blanca,['Mallorca'],"['Alzinar', 'Sobre plantas leñosas']",Indiferent,
Coriolopsis gallica (Fr.) Ryvarden,Polyporaceae,Coriolopsis,,,"Seta semicircular de hasta 15 cm de largo, de 5 a 7 cm de anchura y 1 cm de grueso, anual, sésil. La superficie superior es muy peluda, con pelos cortos y gruesos dispuestos en círculos más o menos concéntricos, de color variable que va del marrón al tierra, dominando el marrón amarillento. El himenio está formado por tubos y poros de color marrón un poco amarillento en los ejemplares jóvenes y más oscuro en los viejos. Las esporas blancas en masa, lisas, cilíndricas, de 7-14 x 3-5 micras",Es muy frecuente,['Mallorca'],['Sobre plantas leñosas'],Indiferent,
Phaeolus schweinitzii (Fr.) Pat,Polyporaceae,Phaeolus,"['Polyporus scweinitzii Fr.', 'Daedalea spadicea (Pers.): Fr.', 'Daedalea sistotrema Fr']",,"Presenta un sombrero de 25-30 cm por 1-3 cm de ancho, al principio redondeado y después en forma de abanico. Con el tiempo puede adquirir forma de embudo. El margen es fino, amarillento, el resto del sombrero puede ser zonado y de color amarillo a marrón oscuro. Durante el crecimiento del sombrero puede englobar restos de vegetación de los alrededores. Presenta unos tubos largos, de color amarillento o marrón y unos poros poligonales grisáceos o amarillentos. El pie varía de casi inexistente a globuloso. Las esporas son elípticas, hialinas, de 5-7 x 5-4,5 micras",Es una especie más bien rara,['Mallorca'],"['Sobre madera muerta, piñas, tocones', 'Sobre plantas leñosas']",Indiferent,
Dichomitus campestris (Quél.) Domanski & Orlics,Polyporaceae,Dichomitus,,,"Seta anual de hasta 8 cm de largo y 1,5 cm de grueso y dispuesto en forma más o menoa alargada. Por una parte está pegado al tronco o rama donde vive y por la parte exterior es más fina, ligeramente levantada y de color negruzco. El color es de blanquecino a más amarillento con la edad y finalmente amarillo negruzco. El himenio tiene forma de tubos dispuestos en una capa, con poros de redondos a angulares. Las esporas blanquecinas en masa, cilíndricas, lisas, de 10-17 x 3,5-6 micras",Muy frecuente en los encinares de la sierra de Tramuntana. Provoca podridura activa. Tiene gusto amargo,['Mallorca'],"['Alzinar', 'Sobre madera muerta, piñas, tocones']",Indiferent,
Fomes fomentarius (L.) J.J. Kickx,Polyporaceae,Fomes,"['Polyporus mirus Kalchbr. ', 'Fomes griseus Lázaro', 'Ungularia nivea Lázaro']","[""Bolet d'esca""]","Seta en forma de pata de caballo, de 10-40 cm de ancho por 10-20 cm de altura, enganchada directamente al tronco del árbol y prolongándose hacia arriba, formando unas anchas zonas concéntricas de crecimiento anual. Está protegido por una dura costra de color ceniza. Tiene tubos largos, de color marrón y los poros son pequeños, primero cremosos, después más oscuros. Las esporas son blancas en masa, alargadas, de 14-20 x 5-7 micras",Es un parásito,['Mallorca'],['Sobre plantas leñosas'],Indiferent,
Polyporus meridionalis (A. David) H. Jahn,Polyporaceae,Polyporus,['Leucoporus meridionalis David'],,"Seta típica con pie y sombrero, el cual puede llegar a medir 4 cm de diámetro. Es acampanado y con frecuencia hundido. La parte superior es de color marrón y presenta un margen fino y con una especie de pelos. El pie es central, cilíndrico, de color marrón o gris negruzco, a veces curbado. El himenio está formado por una especie de tubos blanquecinos decurrentes al pie con poros alargados de color blanco puro a crema con la edad. Las esporas blancas en masa, lisas, elipsoides de 7-9 x 3-4 micras",De distribución típicamente mediterránea y muy frecuente en la Isla de Ibiza,['Ibiza'],"[""Garriga d'ullastre"", 'Pinares y otras coníferas']",Indiferent,
Bjerkandera adusta (Willd.) P. Karst,Poriaceae,Bjerkandera,"['Polyporus adustus Fr.', 'Leptoporus adustus (Willd.) Quél']",,"Seta de forma muy variable, generalmente imbricada, proyectada, resupinada, que puede tener 20 cm o más y que, normalmente, aparece en grupos escalonados. La parte superior del carpóforo es tomentosa, zonada, inicialmente blanquecina y, con el tiempo, más gris y un poco leonada. El margen primero es blanco y estéril, después negruzco. Los tubos de debajo del carpóforo son muy cortos, grises y con el tiempo se vuelven de color oscuro y tiene unos poros, de 4-6 por mm, grises, redondos o un poco angulosos. Las esporas son de color amarillo paja en masa, oblongo-elipsoidales, lisas, de 4-6 x 2,5-3 micras",,['Mallorca'],"['Sobre madera muerta, piñas, tocones']",Indiferent,
Trametes versicolor (L.) Lloyd,Poriaceae,Trametes,"['Polyporus versicolor L.:Fr.', 'Polyporus zonatus Rostk.', 'Coriolus versicolor (L.: Fr.) Quél']",,"Setas coriáceas en forma de concha de 2-10 x 1-5 cm que salen en grupos de numerosos individuos adheridos a la corteza de los árboles lateralmente. La cara superior presenta una zonación concéntrica con bandas de distintos colores que van de marrón más o menos pálido a ocre y hasta negro. Las esporas son de color crema en masa, cilíndricas y alargadas, de 5-6 x 1,5-2,2 micras",Muy frecuente en cualquier época del año y podemos encontrar muchos ejemplares juntos,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']","['Alzinar', 'Pinares y otras coníferas']",Indiferent,['Yesquero multicolor']
Gloeophyllum abietinum (Bull.) P. Karst,Poriaceae,Gloeophyllum,['Lenzites abietina (Bull.: Fr.) Fr'],,"Tiene forma semicircular, de 5 a casi 30 cm. Se unen varios ejemplares bien a la misma altura o formando varios pisos superpuestos. La parte superior puede tener surcos semicirculares con pelos cortos y muy tupidos de joven, casi lisa de vieja, de color marrón excepto el margen que es más claro y con frecuencia de color amarillento crema más o menos claro. El himenio está formado por láminas muchas veces anastomosadas las unas a las otras o también bifurcadas, gruesas y más bien separadas, a veces onduladas, de color crema amarillento de jóvenes y marrones de viejas y presentando lamelas en el margen de la seta. Las esporas son blancas en masa, lisas, casi cilíndricas, de 9-11,5 x 2,8-3,8 micras",,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']","['Sobre madera muerta, piñas, tocones']",Indiferent,
Gloeophyllum sepiarium (Wulfen) P. Karst,Poriaceae,Gloeophyllum,['Lenzites sepiaria (Wulf.: Fr.) Fr'],,"Seta en forma de concha más o menos semicircular de 3 a 6 cm de coloraciones marrones o ocres. Por encima aparece recubierta de una fina pero densa pilosidad que marca una serie de bandas estrechas perfectamente concéntricas. El margen es ondulado y revuelto sobre él mismo, fino y casi siempre amarillo. Las láminas, de color crema de jóvenes y marrones con el tiempo, son finas apretadas que se fusionan las unas con las otras y pueden llegar a formar falsos poros. Las esporas blancas en masa, lisas, cilíndricas, de 8-10 x 2,5-3-5 micras",Muy frecuente. Provoca una activa podridura marrón,,"['Alzinar', 'Pinares y otras coníferas', 'Sobre plantas leñosas']",Indiferent,['Yesquero de abedul']
Laetiporus sulphureus (Bull.) Murrill,Poriaceae,Laetiporus,['Polyporus sulphureus (Bull.:Fr.) Fr'],"['Gírgola de garrover', 'Gírgola groga']","Seta que aparece siempre en grupos más o menos unidos unos sobre otros en forma de abanico muchas veces conectados por la parte posterior. Pueden llegar a medir hasta 40 cm de diámetro y el conjunto pesar más de 5 kg. La parte superior es irregularmente nodulosa, lisa y pruinosa en los jóvenes y rugosa con el tiempo. El color es variable, de color amarillo azufre vivo y las viejas manchadas de color ocre, con el margen siempre más claro y redondeado. La superficie inferior aparece, como en la superior, ondulada i cubierta de poros irregulares de color amarillo vivo. Las esporas son de color crema a amarillo pálido en masa, más tarde blancas, elipsoides, de 5-7 x 3-4 micras","Comestible de joven, pero no se recomienda beber al mismo tiempo bebidas alcohólicas. Muy apreciado en la pagesia de un tiempo. Se cree de que si sale en tiempo seco, al cabo de diez días llueve",['Mallorca'],['Sobre plantas leñosas'],Comestible,['Políporo azufrado']
Lacrymaria lacrymabunda (Bull.) Pat,Psathyrellaceae,Lacrymaria,"['Lacrymaria velutina (Pers.: Fr.) Konr. & Maubl.', 'Psathyrella lacrymabunda (Bull.: Fr.) Moser']",,"Esta es una seta de sombrero delicado y poco carnoso de 3 a 10 cm de diámetro con un mamellón central. El sombrero al principio es convexo o acampanado para acabar siendo plano, de color marrón amarillento, más oscuro en el centro. Presenta escamas muy finas y en forma de mechas y restos de velo. Las láminas son finas y apretadas, libres del pie o muy escotadas y de color tierra. Tras la esporada, las láminas se vuelven negras. El pie es cilíndrico, de 2 a 4 cm x 8 a 12 mm, frágil y estriado de arriba abajo. Además, presenta abundantes escamas blancas que lo recubren en la parte media e inferior del pie. Las esporas son negruzcas en masa, con forma de almendra, con verrugas y crestas, de 8-11 x 5-6,5 micras",Especie muy vistosa y espectacular. Es comestible cuando es joven,"['Ibiza', 'Mallorca']","['Camps de conreu, vores de camins']",Indiferent,['Psatirela aterciopelada']
Psathyrella halophila Esteve-Rav. & Enderle,Psathyrellaceae,Psathyrella,,,"Seta con un sombrero que pasa de forma de parábola a plano, de pequeño tamaño, 2 cm de diámetro y puede presentar un mamellón poco marcado. Es higrófano y por lo tanto estriado por transparencia hacia al margen y de color beige. Las láminas son adnatas, beige y posteriormente oscuras por la caída de las esporas y con la arista de color blanquecino. Las esporas tienen forma de judía con un poro germinativo y de 9-11,5 x 5-6,5 micras. El pie es cilíndrico, blanquecino con restos de velo hacia la base","Es una especie a proteger y se encontró por primera vez en Muro, fue una nueva cita mundial",['Mallorca'],['Sobre plantas herbáceas'],Indiferent,
Gymnosporangium clavariiforme (Jacq.) D.C,Pucciniaceae,Gymnosporangium,,,"Es un hongo parásito del enebro que desarrolla unas prolongaciones que penetran dentro de las células de la planta. Las ramas del enebro se hinchan, con formas tumorales, sobre las cuales aparecen las fructificaciones gelatinosas, de color amarillo naranja, de 10-20 x 2-3 mm. Las esporas son grandes, pediceladas, bicelulares, de 75-85 x 12-15 micras",,,['Sobre plantas leñosas'],Indiferent,
Acervus epispartius (Berk. & Broome) Pfister,Pyronemataceae,Acervus,,,"Seta en forma de copa de 1,5 a 2,5 cm de diámetro que presenta el margen ondulado y con el himenio en el interior de la copa de color amarillo anaranjado, igual que la superficie externa, más dorado cuando está seco. Las esporas son lisas, un poco cilíndricas con una gota lipídica y de 6,5-7 x 3,5-4 micras",Se debe proteger esta especie por su rareza. No se sabe si es comestible,['Mallorca'],['Alzinar'],,
Anthracobia melaloma (Alb. & Schwein.) Arnould,Pyronemataceae,Anthracobia,,,"Seta muy pequeña de 1 a 5 mm de diámetro, sin pie y en forma de pequeña copa que, con el tiempo, se va abriendo para ser plana y un poco ondulada. El himenio es de color naranja amarillento y la superficie externa presenta zonas peludas. Las esporas son elípticas, lisas, de 16-18 x 8-9 micras",A veces puede parecer que cubre todo el terreno,"['Ibiza', 'Mallorca']",['Llocs cremats'],Indiferent,
Geopora arenicola (Lév.) Kers,Pyronemataceae,Geopora,['Geopora arenosa (Fuck.) Ah'],,"Pequeña seta en forma de bola más o menos enterrada de hasta 1 cm de diámetro, no presenta pie y no acaba de salir nunca del terreno. El himenio es liso, de color cera cuando es joven y más oscuro de adulto. La superficie externa es peluda, como aterciopelada, de color marrón cobrizo y con el margen dentado. Las esporas son lisas, algunas con una gran gota lipídica, de 25-30 x 14,5-15,5",,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']",['Dunes'],,
Geopora foliacea (Schaeff.) S. Ahmad,Pyronemataceae,Geopora,,,"Seta en forma de bola medio enterrada, de hasta 5 cm de diámetro, va saliendo de la tierra y se abre. La superficie externa está cubierta de unos pelos marrones y la interna es de color crema claro. Las esporas son elípticas, de 25-28 x 15-18 micras",En Mallorca es frecuente en la playa del Trenc,['Mallorca'],['Dunes'],Indiferent,
Geopyxys carbonaria (Alb. & Schwein.) Sacc,Pyronemataceae,Geopyxys,,,"Seta de color crema- anaranjada en forma de copa con márgenes blanquecinos de hasta 1,5 cm de diámetro y pie más o menos visible. Al principio está casi cerrado y después se va abriendo",,['Mallorca'],['Llocs cremats'],Indiferent,
Greletia planchonis (Dunal ex Boud.) Donanidi,Pyronemataceae,Greletia,"['Pulparia planchonis (Dum.): Boud. ', 'Marcelleina atroviolacea (Delile: De Seynes) Brumm']",,"Pequeña seta violácea, de 4-8 mm de diámetro, en forma de disco y sin pie. Las esporas son redondas, también violáceas, de 8,5-10 micras de diámetro",,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']","['Camps de conreu, vores de camins', 'Dunes']",Indiferent,
